Destination No,"Length
 (cm)",Width (cm),Height (cm),"Volume
(cm^3)",Weight (gs),Commodity,Fragile,Inflammable,Fits_Hugo (RATE),Types
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Daily necessities,,,,1
Kemi,,,,,,unknown,,,,1
Vasa 2-3,,,,,,IT infrastructure,,,,1
Kemi,,,,,,Electronic product,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Daily necessities,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,Laboratory equipment,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,Books,,,,1
Fysik,,,,,,Laboratory equipment,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,Laboratory equipment,,,,1
Fysik,,,,,,IT infrastructure,,,,1
Fysik,,,,,,Electronic product,,,,1
Fysik,,,,,,Electronic product,,,,1
Vasa 7,,,,,,Tools and supplies,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,Daily necessities,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,Food,,,,1
Biblioteket,,,,,,unknown,,,,1
Biblioteket,,,,,,unknown,,,,1
Biblioteket,,,,,,unknown,,,,1
Maskin,,,,,,Tools and supplies,,,,0
Maskin,,,,,,Electronic product,,,,0
Maskin,,,,,,Electronic product,,,,0
ACE,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,0
ACE,,,,,,Electronic product,,,,0
ACE,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,unknown,,,,0
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,IT infrastructure,,,,1
Maskin,,,,,,IT infrastructure,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,Tools and supplies,,,,1
Maskin,,,,,,Electronic product,,,,0
E-huset,,,,,,unknown,,,,1
E-huset,,,,,,unknown,,,,1
Chalmers verksamhetsstöd,,,,,,Books,,,,1
Chalmers verksamhetsstöd,,,,,,Tools and supplies,,,,1
E-huset,,,,,,Books,,,,1
E-huset,,,,,,IT infrastructure,,,,1
Maskin,,,,,,IT infrastructure,,,,1
Maskin,,,,,,Tools and supplies,,,,1
Vasa 2-3,,,,,,unknown,,,,1
Postrum SB3,,,,,,Machinary,,,,1
Postrum SB3,,,,,,Machinary,,,,1
Postrum SB3,,,,,,Machinary,,,,1
Vasa 2-3,,,,,,Books,,,,1
Vasa 2-3,,,,,,Books,,,,1
Kemi,,,,,,unknown,,,,1
Vasa 2-3,,,,,,Books,,,,1
ACE,,,,,,unknown,,,,1
ACE,,,,,,unknown,,,,1
ACE,,,,,,unknown,,,,1
ACE,,,,,,Books,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Maskin,,,,,,Daily necessities,,,,1
Maskin,,,,,,Books,,,,1
Maskin,,,,,,Books,,,,1
Maskin,,,,,,Daily necessities,,,,1
Maskin,,,,,,Daily necessities,,,,1
Maskin,,,,,,Daily necessities,,,,1
Postrum SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,unknown,,,,1
ACE,,,,,,Laboratory equipment,,,,1
ACE,,,,,,Laboratory equipment,,,,1
ACE,,,,,,Food,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,unknown,,,,0
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Machinary,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Vasa 2-3,,,,,,Food,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,IT infrastructure,,,,1
Kemi,,,,,,IT infrastructure,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Daily necessities,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,Electronic product,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,Laboratory equipment,,,,1
Fysik,,,,,,Books,,,,1
Fysik,,,,,,Electronic product,,,,1
Fysik,,,,,,Tools and supplies,,,,1
Fysik,,,,,,Food,,,,1
Fysik,,,,,,IT infrastructure,,,,1
Fysik,,,,,,Laboratory equipment,,,,1
ACE,,,,,,Books,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,0
Fysik,,,,,,Electronic product,,,,0
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,Electronic product,,,,0
Fysik,,,,,,Electronic product,,,,0
Fysik,,,,,,unknown,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,Electronic product,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,Laboratory equipment,,,,0
Kemi,,,,,,unknown,,,,0
E-huset,,,,,,unknown,,,,0
E-huset,,,,,,Electronic product,,,,0
Kemi,,,,,,Daily necessities,,,,1
Maskin,,,,,,Tools and supplies,,,,1
Maskin,,,,,,Tools and supplies,,,,1
E-huset,,,,,,Daily necessities,,,,1
E-huset,,,,,,IT infrastructure,,,,1
E-huset,,,,,,IT infrastructure,,,,1
E-huset,,,,,,Daily necessities,,,,1
E-huset,,,,,,unknown,,,,1
E-huset,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,1
E-huset,,,,,,Electronic product,,,,1
E-huset,,,,,,unknown,,,,1
E-huset,,,,,,IT infrastructure,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,Electronic product,,,,0
Maskin,,,,,,unknown,,,,0
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,IT infrastructure,,,,1
Kemi,,,,,,IT infrastructure,,,,1
Chalmers verksamhetsstöd,,,,,,Food,,,,1
Chalmers verksamhetsstöd,,,,,,Food,,,,1
Vasa 2-3,,,,,,unknown,,,,1
Vasa 2-3,,,,,,Daily necessities,,,,1
Vasa 2-3,,,,,,Daily necessities,,,,1
ACE,,,,,,unknown,,,,1
ACE,,,,,,unknown,,,,1
ACE,,,,,,Books,,,,1
ACE,,,,,,Laboratory equipment,,,,1
ACE,,,,,,Tools and supplies,,,,1
ACE,,,,,,IT infrastructure,,,,1
ACE,,,,,,unknown,,,,1
ACE,,,,,,Books,,,,1
Vasa 2-3,,,,,,unknown,,,,1
Vasa 2-3,,,,,,IT infrastructure,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Books,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,unknown,,,,1
Postrum SB3,,,,,,Machinary,,,,1
Postrum SB3,,,,,,Machinary,,,,1
Postrum SB3,,,,,,Machinary,,,,1
Postrum SB3,,,,,,Machinary,,,,1
Postrum SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,Electronic product,,,,0
Postrum SB3,,,,,,Electronic product,,,,1
Postrum SB3,,,,,,IT infrastructure,,,,1
Postrum SB3,,,,,,Tools and supplies,,,,1
Postrum SB3,,,,,,Laboratory equipment,,,,1
Postrum SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,Machinary,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,unknown,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,Electronic product,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Tools and supplies,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,unknown,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,unknown,,,,1
Biblioteket,,,,,,Books,,,,1
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,Laboratory equipment,,,,1
Fysik,,,,,,Laboratory equipment,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,IT infrastructure,,,,1
Fysik,,,,,,IT infrastructure,,,,1
Fysik,,,,,,IT infrastructure,,,,1
Fysik,,,,,,IT infrastructure,,,,1
Fysik,,,,,,IT infrastructure,,,,1
Fysik,,,,,,IT infrastructure,,,,1
Fysik,,,,,,IT infrastructure,,,,1
E-huset,,,,,,Electronic product,,,,0
E-huset,,,,,,unknown,,,,0
Fysik,,,,,,Electronic product,,,,0
Fysik,,,,,,Electronic product,,,,0
Fysik,,,,,,Electronic product,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,Laboratory equipment,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,Laboratory equipment,,,,0
Kemi,,,,,,Laboratory equipment,,,,0
Kemi,,,,,,Laboratory equipment,,,,0
Kemi,,,,,,Laboratory equipment,,,,0
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,Tools and supplies,,,,1
Maskin,,,,,,Daily necessities,,,,1
Maskin,,,,,,Daily necessities,,,,1
Maskin,,,,,,Daily necessities,,,,1
Maskin,,,,,,Daily necessities,,,,1
Maskin,,,,,,Daily necessities,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,Machinary,,,,1
Maskin,,,,,,Tools and supplies,,,,1
Maskin,,,,,,Tools and supplies,,,,1
Maskin,,,,,,Tools and supplies,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,1
E-huset,,,,,,Books,,,,1
ACE,,,,,,Books,,,,1
ACE,,,,,,Books,,,,1
ACE,,,,,,Books,,,,1
ACE,,,,,,Books,,,,1
ACE,,,,,,Books,,,,1
ACE,,,,,,Books,,,,1
ACE,,,,,,unknown,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
E-huset,,,,,,IT infrastructure,,,,1
E-huset,,,,,,Books,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Food,,,,1
Kemi,,,,,,Books,,,,1
Kemi,,,,,,Books,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Electronic product,,,,1
Kemi,,,,,,Daily necessities,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Daily necessities,,,,1
Kemi,,,,,,Daily necessities,,,,1
Kemi,,,,,,Daily necessities,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Daily necessities,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,0
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,unknown,,,,1
Postrum SB3,,,,,,unknown,,,,1
SB3,,,,,,unknown,,,,0
SB3,,,,,,unknown,,,,1
SB3,,,,,,unknown,,,,1
SB3,,,,,,unknown,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,unknown,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,unknown,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,Daily necessities,,,,1
Kemi,,,,,,Tools and supplies,,,,1
Kemi,,,,,,Tools and supplies,,,,1
Kemi,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,Laboratory equipment,,,,1
Fysik,,,,,,Laboratory equipment,,,,1
Fysik,,,,,,Machinary,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,Laboratory equipment,,,,1
Fysik,,,,,,Laboratory equipment,,,,1
Fysik,,,,,,unknown,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,unknown,,,,1
Biblioteket,,,,,,Daily necessities,,,,1
Biblioteket,,,,,,unknown,,,,1
Vasa 2-3,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,0
E-huset,,,,,,unknown,,,,1
E-huset,,,,,,IT infrastructure,,,,1
E-huset,,,,,,IT infrastructure,,,,1
Maskin,,,,,,Electronic product,,,,0
Maskin,,,,,,Electronic product,,,,0
Chalmers verksamhetsstöd,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Laboratory equipment,,,,0
Kemi,,,,,,Daily necessities,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,1
Maskin,,,,,,Electronic product,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,Machinary,,,,0
Kemi,,,,,,Machinary,,,,0
Kemi,,,,,,Machinary,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,Machinary,,,,0
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,Electronic product,,,,0
E-huset,,,,,,unknown,,,,1
E-huset,,,,,,unknown,,,,1
E-huset,,,,,,unknown,,,,1
E-huset,,,,,,IT infrastructure,,,,1
E-huset,,,,,,unknown,,,,1
E-huset,,,,,,unknown,,,,1
E-huset,,,,,,unknown,,,,1
E-huset,,,,,,unknown,,,,1
Maskin,,,,,,Laboratory equipment,,,,1
ACE,,,,,,Tools and supplies,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,IT infrastructure,,,,1
ACE,,,,,,Books,,,,1
ACE,,,,,,Books,,,,1
ACE,,,,,,Food,,,,1
ACE,,,,,,Food,,,,1
ACE,,,,,,unknown,,,,1
ACE,,,,,,Books,,,,1
Kemi,,,,,,IT infrastructure,,,,1
Kemi,,,,,,IT infrastructure,,,,1
Kemi,,,,,,Food,,,,1
Kemi,,,,,,IT infrastructure,,,,1
Kemi,,,,,,Daily necessities,,,,1
Kemi,,,,,,IT infrastructure,,,,1
Kemi,,,,,,IT infrastructure,,,,1
Kemi,,,,,,Machinary,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,Daily necessities,,,,1
SB3,,,,,,unknown,,,,1
SB3,,,,,,unknown,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,unknown,,,,1
SB3,,,,,,unknown,,,,1
SB3,,,,,,unknown,,,,1
SB3,,,,,,unknown,,,,1
SB3,,,,,,unknown,,,,1
SB3,,,,,,unknown,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
Postrum SB3,,,,,,IT infrastructure,,,,1
Postrum SB3,,,,,,unknown,,,,1
Postrum SB3,,,,,,Electronic product,,,,1
Postrum SB3,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Food,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Daily necessities,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,unknown,,,,1
Chalmers verksamhetsstöd,,,,,,IT infrastructure,,,,1
Kemi,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,Tools and supplies,,,,1
Fysik,,,,,,Laboratory equipment,,,,1
Fysik,,,,,,Laboratory equipment,,,,1
Fysik,,,,,,IT infrastructure,,,,1
Fysik,,,,,,Laboratory equipment,,,,1
Fysik,,,,,,IT infrastructure,,,,1
Fysik,,,,,,Daily necessities,,,,1
Fysik,,,,,,Daily necessities,,,,1
Fysik,,,,,,IT infrastructure,,,,1
Fysik,,,,,,Daily necessities,,,,1
Fysik,,,,,,Daily necessities,,,,1
Fysik,,,,,,Tools and supplies,,,,1
Fysik,,,,,,Daily necessities,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,Books,,,,1
Biblioteket,,,,,,unknown,,,,1
Biblioteket,,,,,,IT infrastructure,,,,1
Biblioteket,,,,,,Books,,,,1
Vasa 2-3,,,,,,unknown,,,,1
E-huset,,,,,,Electronic product,,,,0
E-huset,,,,,,Electronic product,,,,0
E-huset,,,,,,unknown,,,,0
E-huset,,,,,,unknown,,,,1
E-huset,,,,,,unknown,,,,1
E-huset,,,,,,Electronic product,,,,0
E-huset,,,,,,Electronic product,,,,0
Kemi,,,,,,Machinary,,,,0
Kemi,,,,,,Laboratory equipment,,,,0
Kemi,,,,,,Laboratory equipment,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,Electronic product,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,unknown,,,,0
Kemi,,,,,,Laboratory equipment,,,,0
Kemi,,,,,,Laboratory equipment,,,,1
Maskin,,,,,,unknown,,,,0
Maskin,,,,,,Electronic product,,,,0
Fysik,,,,,,unknown,,,,1
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,Laboratory equipment,,,,1
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,Electronic product,,,,0
Fysik,,,,,,unknown,,,,0
Fysik,,,,,,unknown,,,,1
Kemi,,,,,,unknown,,,,1
Maskin,,,,,,Tools and supplies,,,,1
Maskin,,,,,,Tools and supplies,,,,1
E-huset,,,,,,IT infrastructure,,,,1
Maskin,,,,,,Tools and supplies,,,,1
Maskin,,,,,,Tools and supplies,,,,1
SB3,,,,,,IT infrastructure,,,,1
Maskin,,,,,,IT infrastructure,,,,1
Maskin,,,,,,unknown,,,,1
Maskin,,,,,,Tools and supplies,,,,1
Maskin,,,,,,Tools and supplies,,,,1
Maskin,,,,,,Tools and supplies,,,,1
Maskin,,,,,,Machinary,,,,1
Maskin,,,,,,Daily necessities,,,,1
E-huset,,,,,,IT infrastructure,,,,1
E-huset,,,,,,IT infrastructure,,,,1
E-huset,,,,,,IT infrastructure,,,,1
E-huset,,,,,,Daily necessities,,,,1
E-huset,,,,,,Daily necessities,,,,1
Maskin,,,,,,Books,,,,1
Maskin,,,,,,Tools and supplies,,,,1
Maskin,,,,,,Tools and supplies,,,,1
E-huset,,,,,,IT infrastructure,,,,1
Vasa 2-3,,,,,,Food,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
Kemi,,,,,,Laboratory equipment,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,Electronic product,,,,1
SB3,,,,,,unknown,,,,1
SB3,,,,,,IT infrastructure,,,,1
SB3,,,,,,IT infrastructure,,,,1
